Region,Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Seat,Result,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Total_Votes
Munster,Cork North West,Nigel Dennehy,M,Sinn Féin,S.F.,S.F.,0,Excluded,3238,3334,3485,3633,3783,4256,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,Shirley Griffin,F,Non-Party,Others,NON-P.,0,Excluded,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork North West,Steven O'Riordan,M,Non-Party,Others,NON-P.,0,Excluded,1361,1530,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Ciarán Kenneally,M,Renua Ireland,Others,R.I.,0,Excluded,887,931,944,951,990,1014,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Ciarán Lynch,M,The Labour Party,LAB.,LAB.,0,Excluded,2417,2462,2478,2481,2504,2513,2574,2611,2685,0,0,0,0,0,0,0,0
Munster,Cork South Central,Diarmaid Ó Cadhla,M,Non-Party,Others,NON-P.,0,Excluded,869,885,891,941,1047,1107,1188,0,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Donnchadh Uinseann Ó Laoghaire,M,Sinn Féin,S.F.,S.F.,1,Elected,6986,7090,7122,7152,7257,7414,7524,7877,8366,8526,10653,0,0,0,0,0,10653
Munster,Cork South Central,Elizabeth Hourihane,F,Non-Party,Others,NON-P.,0,Excluded,304,327,329,333,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Fiona Ryan,F,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,937,954,960,976,1037,1492,1592,1882,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Jerry Buttimer,M,Fine Gael,F.G.,F.G.,0,Excluded,6419,6498,6530,6532,6568,6582,6701,6727,6786,7843,9117,0,0,0,0,0,0
Munster,Cork South Central,Jim O'Connell,M,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,795,810,815,829,880,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Joe Harris,M,Non-Party,Others,NON-P.,0,Excluded,350,371,376,388,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Lorna Bogue,F,Green Party,G.P.,G.P.,0,Excluded,2064,2095,2108,2114,2183,2243,2364,2452,2930,3291,0,0,0,0,0,0,0
Munster,Cork South Central,Michael Joseph Mohally,M,Non-Party,Others,NON-P.,0,Excluded,170,173,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South Central,Michael McGrath,M,Fianna Fáil,F.F.,F.F.,1,Elected,11795,11137,11137,11137,11137,11137,11137,11137,11137,11137,11137,0,0,0,0,0,11137
Munster,Cork South Central,Micheál Martin,M,Fianna Fáil,F.F.,F.F.,1,Elected,11346,11346,11137,11137,11137,11137,11137,11137,11137,11137,11137,0,0,0,0,0,11137
Munster,Cork South Central,Mick Finn,M,Non-Party,Others,NON-P.,0,Excluded,2378,2423,2446,2454,2528,2583,2686,2869,3199,3356,0,0,0,0,0,0,0
Munster,Cork South Central,Simon Coveney,M,Fine Gael,F.G.,F.G.,1,Elected,7965,8180,8233,8241,8293,8303,8468,8527,8591,9315,10372,0,0,0,0,0,10372
Munster,Cork South West,Alan Coleman,M,Non-Party,Others,NON-P.,0,Excluded,4955,5272,5634,6405,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South West,Fiona Pettit O’leary,F,Non-Party,Others,NON-P.,0,Excluded,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South West,Gillian Powell,F,Non-Party,Others,NON-P.,0,Excluded,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South West,Jim Daly,M,Fine Gael,F.G.,F.G.,1,Elected,7370,7633,8523,8774,9799,0,0,0,0,0,0,0,0,0,0,0,9799
Munster,Cork South West,Johnny O’ Mahony,M,Green Party,G.P.,G.P.,0,Excluded,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South West,Margaret Murphy O'Mahony,F,Fianna Fáil,F.F.,F.F.,1,Elected,8482,8845,9228,10020,11962,0,0,0,0,0,0,0,0,0,0,0,11962
Munster,Cork South West,Michael Collins,M,Non-Party,Others,NON-P.,1,Elected,6765,7347,7793,9258,11063,0,0,0,0,0,0,0,0,0,0,0,11063
Munster,Cork South West,Michael McCarthy,M,The Labour Party,LAB.,LAB.,0,Excluded,3035,3397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South West,Noel Harrington,M,Fine Gael,F.G.,F.G.,0,Excluded,6433,6574,7377,7544,8208,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South West,Rachel McCarthy,F,Sinn Féin,S.F.,S.F.,0,Excluded,3656,3993,4260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Cork South West,Theresa Heaney,F,Catholic Democrats,Others,C.D.,0,Excluded,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Charlie McConalogue,M,Fianna Fáil,F.F.,F.F.,1,Elected,12533,12533,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,0,0,0,12218
Ulster,Donegal,Cordelia NicFhearraigh,F,Fís Nua,Others,F.N.,0,Excluded,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Donegal,Dessie Sheils,M,Non-Party,Others,NON-P.,0,Excluded,3724,3724,3739,3986,4166,4288,4463,4497,4540,0,0,0,0,0,0,0,0
